frequency;V(OUTBP) (gain);
532,108;-52,4816;
533,335;-52,4616;
534,564;-52,4416;
535,797;-52,4216;
537,032;-52,4016;
538,27;-52,3816;
539,511;-52,3616;
540,754;-52,3416;
542,001;-52,3216;
543,25;-52,3016;
544,503;-52,2816;
545,758;-52,2616;
547,016;-52,2416;
548,277;-52,2215;
549,541;-52,2015;
550,808;-52,1815;
552,077;-52,1615;
553,35;-52,1415;
554,626;-52,1215;
555,904;-52,1015;
557,186;-52,0815;
558,47;-52,0615;
559,758;-52,0415;
561,048;-52,0215;
562,341;-52,0015;
563,638;-51,9815;
564,937;-51,9615;
566,239;-51,9415;
567,545;-51,9215;
568,853;-51,9015;
570,164;-51,8815;
571,479;-51,8615;
572,796;-51,8415;
574,116;-51,8215;
575,44;-51,8015;
576,766;-51,7815;
578,096;-51,7615;
579,429;-51,7415;
580,764;-51,7215;
582,103;-51,7015;
583,445;-51,6815;
584,79;-51,6615;
586,138;-51,6415;
587,489;-51,6215;
588,844;-51,6015;
590,201;-51,5815;
591,562;-51,5615;
592,925;-51,5415;
594,292;-51,5215;
595,662;-51,5015;
597,035;-51,4815;
598,412;-51,4615;
599,791;-51,4415;
601,174;-51,4214;
602,56;-51,4014;
603,949;-51,3814;
605,341;-51,3614;
606,736;-51,3414;
608,135;-51,3214;
609,537;-51,3014;
610,942;-51,2814;
612,35;-51,2614;
613,762;-51,2414;
615,177;-51,2214;
616,595;-51,2014;
618,016;-51,1814;
619,441;-51,1614;
620,869;-51,1414;
622,3;-51,1214;
623,735;-51,1014;
625,173;-51,0814;
626,614;-51,0614;
628,058;-51,0414;
629,506;-51,0214;
630,957;-51,0014;
632,412;-50,9814;
633,87;-50,9614;
635,331;-50,9414;
636,796;-50,9214;
638,263;-50,9014;
639,735;-50,8814;
641,21;-50,8614;
642,688;-50,8414;
644,169;-50,8214;
645,654;-50,8014;
647,143;-50,7814;
648,634;-50,7614;
650,13;-50,7413;
651,628;-50,7213;
653,131;-50,7013;
654,636;-50,6813;
656,145;-50,6613;
657,658;-50,6413;
659,174;-50,6213;
660,693;-50,6013;
662,217;-50,5813;
663,743;-50,5613;
665,273;-50,5413;
666,807;-50,5213;
668,344;-50,5013;
669,885;-50,4813;
671,429;-50,4613;
672,977;-50,4413;
674,528;-50,4213;
676,083;-50,4013;
677,642;-50,3813;
679,204;-50,3613;
680,769;-50,3413;
682,339;-50,3213;
683,912;-50,3013;
685,488;-50,2813;
687,068;-50,2613;
688,652;-50,2413;
690,24;-50,2213;
691,831;-50,2013;
693,426;-50,1813;
695,024;-50,1612;
696,627;-50,1412;
698,232;-50,1212;
699,842;-50,1012;
701,455;-50,0812;
703,072;-50,0612;
704,693;-50,0412;
706,318;-50,0212;
707,946;-50,0012;
709,578;-49,9812;
711,214;-49,9612;
712,853;-49,9412;
714,496;-49,9212;
716,143;-49,9012;
717,794;-49,8812;
719,449;-49,8612;
